1	de	of, from, some, any	det, prep	[də, dy, de]					1. de From Latin dē.	[ ]	[ ]	[3]
2	je	I	pro	[ʒə, ʒ]					2. je From Old French jo, from Vulgar Latin *eo, from Latin ego, from Proto-Indo-European *éǵh₂. Near cognates include Spanish yo and Italian io. Further cognates include Ancient Greek ἐγώ (egṓ), Russian я (ya), English I, German ich, etc.	[ ]	[ ]	[3]
3	pas	not, no	adv,nm(pl)	[pɑ]					3. pas From Latin passus. Its use as an auxiliary adverb comes from an accusative use (Latin nec... passum) in negative constructions – literally ‘not... a step’, i.e. ‘not at all’ – originally used with certain verbs of motion.	[ ]	[ ]	[3]
4	le	the; him, her, it, them	det, pro	[lə]					4. le From Old French le, from Latin illum, by dropping il- and -m. Latin illum is the accusative singular of ille.[1]	[ ]	[ ]	[3]
5	que	that, which, who, whom	adv,conj,pro	[kə]					5. que 1 From Latin quia. From Latin quam. From Latin quid, from Proto-Indo-European *kʷid, compare *kʷis. From Latin quem, accusative of qui.	[ ]	[ ]	[3]
6	tu	you	pro	[ty]					6. tu 1 From Old French tu, from Latin tū, from Proto-Italic *tū, from Proto-Indo-European *túh₂.	[ ]	[ ]	[3]
7	vous	you(pl)	pro	[vu]					7. vous From Middle French vous, from Old French vos, vous, from Latin vōs, from Proto-Italic *wōs.	[ ]	[ ]	[3]
8	un	a, an, one	adj, det, nm, pro	[œ͂]					8. un From Old French un, from Latin ūnum, accusative singular of ūnus (“one”), from Old Latin oinos, from Proto-Italic *oinos, from Proto-Indo-European *óynos.	[ ]	[ ]	[3]
9	et	and	conj	[e]					9. et From Latin et (“and; plus”).	[ ]	[ ]	[3]
10	à	to, at, in	prep	[a]					10. à From Old French a, from Latin ad, from Proto-Indo-European *ád (“near; at”).	[ ]	[ ]	[3]
11	il	he, it	pro	[il]					11. il From Middle French il, from Old French il, from Vulgar Latin *illī, which is derived from Classical Latin ille.[1]	[ ]	[ ]	[3]
12	ne	not	adv	[nə]					12. ne From Latin nōn.	[ ]	[ ]	[3]
13	en	in, by	adv,prep,pro	[ɑ͂]					13. en 1 From Middle French en, from Old French en, from Latin in, from Proto-Italic *en, from Proto-Indo-European *h₁én (“in”). From Latin inde (“thence”). Compare Catalan en.	[ ]	[ ]	[3]
14	on	one, we	pro	[ɔ͂]					14. on From Old French hom, om (nominative form), from the homō (“human being”) (compare homme from the Old French oblique form home, from the Latin accusative form hominem). Its pronominal use is of Germanic origin. Compare Old English man (“one, they, people”), reduced form of Old English mann (“man, person”); Catalan hom; German man (“one, they, people”); Dutch men (“one, they, people”).	[ ]	[ ]	[3]
15	ce	this, that	det,pro	[sə]					15. ce 1 From Old French cel, from earlier cil, from Vulgar Latin *ecce illu, from Latin ecce or eccum illum, from ille. Probably from Latin ecce hoc.	[ ]	[ ]	[3]
16	pour	for, in order to	prep	[puʀ]					16. pour From Old French por, from Latin pro.	[ ]	[ ]	[3]
17	qui	who, whom	pro	[ki]					17. qui From Middle French qui, from Old French qui, from Latin quī, from Old Latin quei, from Proto-Italic *kʷoi, from Proto-Indo-European *kʷos, *kʷis.	[ ]	[ ]	[3]
18	mais	but	adv,conj,intj	[mɛ]					18. mais From Old French mes, mais, from Latin magis.	[ ]	[ ]	[3]
19	dans	in, into, from	prep	[dɑ͂]					19. dans 1 From Vulgar Latin de intus or deintus, meaning 'from inside' or 'from within'. See dan.	[ ]	[ ]	[3]
20	nous	we, us	pro	[nu]					20. nous 1 From Middle French nous, from Old French nous, nos, from Latin nōs, from Proto-Italic *nōs. From Ancient Greek νοῦς (noûs) or νόος (nóos, “mind”).	[ ]	[ ]	[3]
21	elle	she, her	pro	[ɛl]					21. elle 1 From Old French ele, from Latin illa, feminine of ille.	[ ]	[ ]	[3]
22	bien	well	adji,adv,nm	[bjɛ͂]					22. bien From Middle French bien, from Old French bien, from Latin bene (“well”).	[ ]	[ ]	[3]
24	me	me, to me, myself	pro	[mə]					24. me From Middle French me, from Old French me, from Latin mē (accusative of ego), from Proto-Indo-European *(e)me-, *(e)me-n- (“me”). Northern dialects have preserved a form mi for the indirect object (also found in Old French in the Oaths of Strasbourg), from Latin mihi, dative singular of ego, through a Vulgar Latin *mi, whereas in standard French, it has merged into me.	[ ]	[ ]	[3]
25	si	if, whether	adv,conj,nmi	[si]					25. si 1 From Old French se, from Latin si (“if”). From Old French si, from Latin sic (“so, thus”).	[ ]	[ ]	[3]
26	y	there	adv,nmi,pro	[igʀɛk]					26. y 1 From i grec (“Greek i”), referring to the letter upsilon (Υ), originally borrowed from the Greek alphabet, as opposed to 'Latin i' (I). 10th century; from Old French i, from Latin hīc (“here”) (ultimately from Proto-Indo-European *ǵʰi-ḱe (“this, here”)), with meaning influenced by Old French iv (“there, thither”), itself from Latin ibī. Derivation from the latter poses difficulty from a phonetic standpoint. Eye dialect spelling of il. or Contraction of il. .	[ ]	[ ]	[3]
27	non	no, not	adv,nmi	[nɔ͂]					27. non From Old French non, from Latin nōn.	[ ]	[ ]	[3]
